solar,wind,LDES absolute dispatch
0.1,0.1,469.1
0.1,0.3,473.2
0.1,0.4,440.5
0.1,0.5,465.5
0.1,0.6,373.4
0.1,0.7,524.6
0.1,0.9,814.1
0.3,0.1,379.6
0.3,0.3,511.8
0.3,0.4,670.5
0.3,0.5,766.7
0.3,0.6,778.4
0.3,0.7,834.7
0.3,0.9,1063.7
0.4,0.1,486.4
0.4,0.3,642.2
0.4,0.4,682.8
0.4,0.5,728.1
0.4,0.6,889.1
0.4,0.7,1072.0
0.4,0.9,1224.2
0.5,0.1,639.0
0.5,0.3,817.4
0.5,0.4,728.7
0.5,0.5,813.3
0.5,0.6,1005.3
0.5,0.7,1101.5
0.6,0.1,671.6
0.6,0.3,934.1
0.6,0.4,802.5
0.6,0.5,889.5
0.6,0.6,970.4
0.6,0.7,991.0
0.7,0.1,621.5
0.7,0.3,938.7
0.7,0.4,987.5
0.7,0.5,1130.9
0.7,0.6,1106.2
0.9,0.1,794.4
0.9,0.3,1095.0
0.9,0.4,1267.4
