solar,wind,ES wind cap
0.1,0.1,0.8
0.1,0.3,1.1
0.1,0.4,1.3
0.1,0.5,6.3
0.1,0.6,25.7
0.1,0.7,37.3
0.1,0.9,25.2
0.3,0.1,0.8
0.3,0.3,0.9
0.3,0.4,1.3
0.3,0.5,1.4
0.3,0.6,1.4
0.3,0.7,6.3
0.3,0.9,22.7
0.4,0.1,0.0
0.4,0.3,0.9
0.4,0.4,1.1
0.4,0.5,1.2
0.4,0.6,1.4
0.4,0.7,1.4
0.4,0.9,1.5
0.5,0.1,0.0
0.5,0.3,0.8
0.5,0.4,0.9
0.5,0.5,1.0
0.5,0.6,1.2
0.5,0.7,1.3
0.6,0.1,0.0
0.6,0.3,0.9
0.6,0.4,0.9
0.6,0.5,1.0
0.6,0.6,1.1
0.6,0.7,1.3
0.7,0.1,0.0
0.7,0.3,0.9
0.7,0.4,0.9
0.7,0.5,1.0
0.7,0.6,1.0
0.9,0.1,0.0
0.9,0.3,0.8
0.9,0.4,0.9
