solar,wind,wind absolute curt
0.1,0.1,1263796.1
0.1,0.3,49204944.6
0.1,0.4,94010384.3
0.1,0.5,179645459.9
0.1,0.6,293946261.9
0.1,0.7,421200999.5
0.1,0.9,770111539.5
0.3,0.1,9836965.4
0.3,0.3,71654997.4
0.3,0.4,140757838.5
0.3,0.5,257195695.4
0.3,0.6,410965529.5
0.3,0.7,564413939.3
0.3,0.9,994239394.9
0.4,0.1,13160273.1
0.4,0.3,99821608.0
0.4,0.4,175382771.5
0.4,0.5,294160513.0
0.4,0.6,444947303.8
0.4,0.7,613260268.9
0.4,0.9,1052766571.1
0.5,0.1,16876498.5
0.5,0.3,106783419.7
0.5,0.4,198507377.1
0.5,0.5,324631410.6
0.5,0.6,483503240.6
0.5,0.7,646205767.8
0.6,0.1,17739088.8
0.6,0.3,114562619.0
0.6,0.4,214695351.3
0.6,0.5,347823054.4
0.6,0.6,511264911.6
0.6,0.7,669155650.4
0.7,0.1,18152393.3
0.7,0.3,118919462.5
0.7,0.4,224898303.3
0.7,0.5,370496839.7
0.7,0.6,535598464.5
0.9,0.1,18803681.6
0.9,0.3,124739096.7
0.9,0.4,250498853.3
