solar,wind,total demand
0.1,0.1,3214.523
0.1,0.3,3214.523
0.1,0.4,3214.523
0.1,0.5,3214.523
0.1,0.6,3214.523
0.1,0.7,3214.523
0.1,0.9,3214.523
0.3,0.1,3214.523
0.3,0.3,3214.523
0.3,0.4,3214.523
0.3,0.5,3214.523
0.3,0.6,3214.523
0.3,0.7,3214.523
0.3,0.9,3214.524
0.4,0.1,3214.523
0.4,0.3,3214.523
0.4,0.4,3214.523
0.4,0.5,3214.523
0.4,0.6,3214.523
0.4,0.7,3214.524
0.4,0.9,3214.524
0.5,0.1,3214.523
0.5,0.3,3214.523
0.5,0.4,3214.523
0.5,0.5,3214.523
0.5,0.6,3214.523
0.5,0.7,3214.524
0.6,0.1,3214.523
0.6,0.3,3214.523
0.6,0.4,3214.523
0.6,0.5,3214.523
0.6,0.6,3214.523
0.6,0.7,3214.523
0.7,0.1,3214.523
0.7,0.3,3214.523
0.7,0.4,3214.523
0.7,0.5,3214.524
0.7,0.6,3214.524
0.9,0.1,3214.523
0.9,0.3,3214.524
0.9,0.4,3214.524
