solar,wind,ES solar cap
0.1,0.1,55.5
0.1,0.3,55.7
0.1,0.4,55.7
0.1,0.5,55.9
0.1,0.6,55.8
0.1,0.7,59.4
0.1,0.9,86.1
0.3,0.1,131.1
0.3,0.3,170.1
0.3,0.4,175.2
0.3,0.5,177.3
0.3,0.6,179.8
0.3,0.7,188.3
0.3,0.9,194.8
0.4,0.1,276.2
0.4,0.3,299.4
0.4,0.4,301.3
0.4,0.5,286.9
0.4,0.6,281.4
0.4,0.7,286.5
0.4,0.9,314.6
0.5,0.1,415.8
0.5,0.3,461.5
0.5,0.4,449.9
0.5,0.5,421.8
0.5,0.6,408.3
0.5,0.7,415.7
0.6,0.1,608.6
0.6,0.3,652.9
0.6,0.4,619.5
0.6,0.5,581.3
0.6,0.6,568.6
0.6,0.7,576.2
0.7,0.1,821.4
0.7,0.3,824.8
0.7,0.4,800.3
0.7,0.5,778.2
0.7,0.6,777.0
0.9,0.1,1124.1
0.9,0.3,1119.2
0.9,0.4,1122.8
