solar,wind,solar absolute curt
0.1,0.1,268782.6
0.1,0.3,730383.2
0.1,0.4,1237660.4
0.1,0.5,1406627.6
0.1,0.6,1699943.9
0.1,0.7,2816380.3
0.1,0.9,1806498.4
0.3,0.1,50294835.8
0.3,0.3,72829352.9
0.3,0.4,90086267.8
0.3,0.5,105711614.3
0.3,0.6,119699485.9
0.3,0.7,119896501.6
0.3,0.9,121698124.3
0.4,0.1,170362815.9
0.4,0.3,207607266.0
0.4,0.4,235122421.4
0.4,0.5,267995428.9
0.4,0.6,297908208.8
0.4,0.7,309719578.7
0.4,0.9,341215994.5
0.5,0.1,351405928.3
0.5,0.3,394601422.7
0.5,0.4,432886854.3
0.5,0.5,474129853.8
0.5,0.6,507656729.6
0.5,0.7,543885443.1
0.6,0.1,520775614.4
0.6,0.3,585189359.1
0.6,0.4,633339548.1
0.6,0.5,694282138.2
0.6,0.6,744101297.3
0.6,0.7,800774101.2
0.7,0.1,717003814.2
0.7,0.3,802609984.2
0.7,0.4,859843121.6
0.7,0.5,919818443.3
0.7,0.6,986991393.4
0.9,0.1,1164178570.4
0.9,0.3,1279898046.5
0.9,0.4,1340126729.4
