solar,wind,SDES discharge cap
0.1,0.1,78.9
0.1,0.3,73.8
0.1,0.4,76.0
0.1,0.5,80.5
0.1,0.6,81.9
0.1,0.7,86.2
0.1,0.9,113.9
0.3,0.1,171.0
0.3,0.3,204.5
0.3,0.4,216.2
0.3,0.5,227.4
0.3,0.6,238.9
0.3,0.7,242.6
0.3,0.9,248.0
0.4,0.1,240.9
0.4,0.3,244.1
0.4,0.4,255.7
0.4,0.5,267.4
0.4,0.6,276.2
0.4,0.7,275.7
0.4,0.9,268.0
0.5,0.1,273.6
0.5,0.3,293.6
0.5,0.4,293.3
0.5,0.5,300.2
0.5,0.6,309.4
0.5,0.7,302.0
0.6,0.1,361.9
0.6,0.3,364.4
0.6,0.4,354.4
0.6,0.5,343.8
0.6,0.6,341.7
0.6,0.7,330.2
0.7,0.1,431.8
0.7,0.3,418.3
0.7,0.4,405.4
0.7,0.5,389.6
0.7,0.6,375.7
0.9,0.1,533.6
0.9,0.3,508.5
0.9,0.4,495.1
