solar,wind,SDES absolute dispatch
0.1,0.1,23220443.0
0.1,0.3,27517593.7
0.1,0.4,27341979.0
0.1,0.5,29819136.3
0.1,0.6,30464918.2
0.1,0.7,32451772.6
0.1,0.9,46571055.2
0.3,0.1,117513585.4
0.3,0.3,147901484.3
0.3,0.4,157559622.7
0.3,0.5,168168053.3
0.3,0.6,178001296.3
0.3,0.7,180622375.0
0.3,0.9,182332427.9
0.4,0.1,199517574.1
0.4,0.3,210828062.5
0.4,0.4,224391914.2
0.4,0.5,236285330.2
0.4,0.6,241742863.1
0.4,0.7,240089770.0
0.4,0.9,216811657.6
0.5,0.1,263575531.3
0.5,0.3,287602560.6
0.5,0.4,284838931.5
0.5,0.5,290712856.4
0.5,0.6,294446080.8
0.5,0.7,278721475.6
0.6,0.1,375996481.7
0.6,0.3,380053193.8
0.6,0.4,368278778.7
0.6,0.5,353214529.5
0.6,0.6,341913767.4
0.6,0.7,318383057.9
0.7,0.1,467389824.9
0.7,0.3,455422683.2
0.7,0.4,437663942.9
0.7,0.5,415380298.4
0.7,0.6,391039471.4
0.9,0.1,603176050.7
0.9,0.3,573964851.7
0.9,0.4,548869759.0
